,0
0,-0.6224370300460691
1,-0.9455592039111962
2,-1.0705089293599286
3,-0.15965395646789404
4,1.2564844271992321
5,-0.47143794403903905
6,-0.46518996716202543
7,-1.3797426441481224
8,-0.9806011583727732
9,-0.48421106755965126
10,0.6831826572774231
11,-0.11677754470723167
12,-0.04516683400342551
13,-0.8010062894998672
14,0.5526604658692907
15,-0.07921719507485253
16,0.919563043818505
17,0.21180841444064802
18,-0.43298051629742274
19,0.9133209047182235
20,-1.6236411547921183
21,2.2813107732788835
22,-0.5085258898806954
23,-1.250432206456407
24,0.9951587499754806
25,0.6685349186871786
26,-0.7734907917372069
27,-1.641026374117139
28,-0.10503905915024389
29,0.5310539365901532
30,0.8127144721264583
31,1.3746934244239195
